0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.667,0.333,0.5,0.5,0,0,97,95,0
0.5,0.5,0.667,0.333,0.5,0.5,0.5,0.5,106,94,0,0,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.667,0,0,95,97,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.667,0,0,95,111,1
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1
0.5,0.5,0.333,0.667,0.333,0.667,0.5,0.5,99,106,76,106,0
0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,111,104,111,95,1
0.5,0.5,0.667,0.333,0.333,0.667,0.5,0.5,122,97,94,106,0
0.333,0.667,0.667,0.333,0.5,0.5,0.333,0.667,103,103,94,104,1
0.667,0.333,0.5,0.5,0.667,0.333,0.5,0.5,112,95,106,99,0
0.5,0.5,0.5,0.5,0.667,0.333,0.5,0.5,100,86,104,94,1
0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,105,85,112,111,0
0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,99,90,106,97,1
0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,85,105,111,95,0
0.333,0.667,0.5,0.5,0.5,0.5,0.667,0.333,97,122,88,87,0
0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,87,88,112,106,0
0.5,0.5,0.333,0.667,0.5,0.5,0.333,0.667,95,112,87,92,0
0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,95,111,112,94,1
0.333,0.667,0.5,0.5,0.333,0.667,0.5,0.5,104,111,111,112,1
0.5,0.5,0.333,0.667,0.333,0.667,0.5,0.5,106,112,100,115,1
0.333,0.667,0.333,0.667,0.5,0.5,0.5,0.5,101,109,93,81,0
0.667,0.333,0.667,0.333,0.5,0.5,0.5,0.5,107,96,118,112,1
0.333,0.667,0.667,0.333,0.333,0.667,0.333,0.667,94,104,87,108,1
0.5,0.5,0.25,0.75,0.667,0.333,0.667,0.333,94,111,111,93,0
0.667,0.333,0.333,0.667,0.5,0.5,0.5,0.5,102,102,102,101,0
0.5,0.5,0.75,0.25,0.333,0.667,0.667,0.333,103,100,111,104,0
0.5,0.5,0.5,0.5,0.667,0.333,0.333,0.667,107,104,104,93,0
0.667,0.333,0.5,0.5,0.25,0.75,0.5,0.5,102,97,111,113,1
0.5,0.5,0.25,0.75,0.5,0.5,0.667,0.333,94,100,101,100,0
0.333,0.667,0.333,0.667,0.5,0.5,0.5,0.5,112,122,99,99,0
0.667,0.333,0.333,0.667,0.25,0.75,0.5,0.5,98,98,88,108,1
0.667,0.333,0.667,0.333,0.333,0.667,0.667,0.333,125,121,91,90,1
0.667,0.333,0.667,0.333,0.25,0.75,0.5,0.5,109,101,105,120,1
0.333,0.667,0.25,0.75,0.25,0.75,0.333,0.667,88,106,99,115,0
0.667,0.333,0.75,0.25,0.5,0.5,0.667,0.333,119,102,96,100,1
0.25,0.75,0.333,0.667,0.75,0.25,0.667,0.333,88,108,122,111,1
0.75,0.25,0.667,0.333,0.5,0.5,0.667,0.333,109,100,102,97,1
0.5,0.5,0.75,0.25,0.5,0.5,0.333,0.667,103,94,98,101,0
0.333,0.667,0.75,0.25,0.667,0.333,0.5,0.5,113,106,101,91,0
0.333,0.667,0.333,0.667,0.667,0.333,0.5,0.5,83,105,101,88,0
0.333,0.667,0.25,0.75,0.75,0.25,0.5,0.5,93,98,99,95,1
0.5,0.5,0.6,0.4,0.75,0.25,0.667,0.333,100,97,108,96,0
0.75,0.25,0.667,0.333,0.25,0.75,0.333,0.667,98,91,92,105,0
0.25,0.75,0.333,0.667,0.333,0.667,0.5,0.5,106,115,92,99,0
0.75,0.25,0.333,0.667,0.5,0.5,0.75,0.25,101,95,99,98,0
0.333,0.667,0.25,0.75,0.25,0.75,0.333,0.667,103,119,103,106,0
0.5,0.5,0.333,0.667,0.5,0.5,0.5,0.5,115,113,89,104,0
0.5,0.5,0.8,0.2,0.25,0.75,0.25,0.75,99,97,90,105,1
0.667,0.333,0.6,0.4,0.25,0.75,0.75,0.25,102,91,106,103,1
0.75,0.25,0.75,0.25,0.8,0.2,0.667,0.333,119,94,107,99,1
0.4,0.6,0.333,0.667,0.25,0.75,0.5,0.5,94,107,103,103,1
0.25,0.75,0.5,0.5,0.4,0.6,0.5,0.5,93,99,100,101,1
0.25,0.75,0.5,0.5,0.25,0.75,0.333,0.667,100,110,88,106,1
0.75,0.25,0.5,0.5,0.75,0.25,0.75,0.25,118,111,106,95,0
0.5,0.5,0.5,0.5,0.4,0.6,0.333,0.667,100,98,108,110,1
0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,94,79,100,101,0
0.333,0.667,0.75,0.25,0.667,0.333,0.6,0.4,105,105,99,89,1
0.75,0.25,0.4,0.6,0.6,0.4,0.5,0.5,100,102,114,109,1
0.333,0.667,0.6,0.4,0.5,0.5,0.25,0.75,98,98,102,100,0
0.333,0.667,0.6,0.4,0.333,0.667,0.6,0.4,99,101,93,86,0
0.333,0.667,0.75,0.25,0.6,0.4,0.333,0.667,102,98,99,95,0
0.5,0.5,0.6,0.4,0.5,0.5,0.6,0.4,101,99,92,101,1
0.4,0.6,0.333,0.667,0.5,0.5,0.75,0.25,100,100,104,104,1
0.25,0.75,0.2,0.8,0.2,0.8,0.333,0.667,89,104,106,116,0
0.75,0.25,0.6,0.4,0.25,0.75,0.25,0.75,101,90,88,102,1
0.8,0.2,0.75,0.25,0.25,0.75,0.6,0.4,117,96,96,100,1
0.4,0.6,0.5,0.5,0.6,0.4,0.5,0.5,94,99,98,93,1
0.25,0.75,0.25,0.75,0.6,0.4,0.8,0.2,100,115,99,95,0
0.25,0.75,0.6,0.4,0.4,0.6,0.5,0.5,102,101,98,105,0
0.25,0.75,0.4,0.6,0.75,0.25,0.8,0.2,105,106,106,95,1
0.6,0.4,0.5,0.5,0.6,0.4,0.667,0.333,104,98,94,92,0
0.4,0.6,0.25,0.75,0.5,0.5,0.333,0.667,106,112,99,109,0
0.6,0.4,0.833,0.167,0.5,0.5,0.6,0.4,102,98,103,106,1
0.8,0.2,0.4,0.6,0.25,0.75,0.75,0.25,101,101,98,97,0
0.25,0.75,0.6,0.4,0.2,0.8,0.25,0.75,97,100,103,116,1
0.8,0.2,0.5,0.5,0.5,0.5,0.5,0.5,107,101,101,109,0
0.4,0.6,0.6,0.4,0.2,0.8,0.2,0.8,98,103,91,104,1
0.25,0.75,0.2,0.8,0.4,0.6,0.4,0.6,91,103,103,103,0
0.333,0.667,0.25,0.75,0.833,0.167,0.75,0.25,106,112,117,98,0
0.667,0.333,0.5,0.5,0.5,0.5,0.4,0.6,99,92,103,98,1
0.333,0.667,0.667,0.333,0.5,0.5,0.5,0.5,94,86,92,103,1
0.8,0.2,0.6,0.4,0.5,0.5,0.5,0.5,102,92,93,97,1
0.6,0.4,0.4,0.6,0.75,0.25,0.667,0.333,96,92,102,95,1
0.2,0.8,0.6,0.4,0.2,0.8,0.5,0.5,100,101,106,113,1
0.6,0.4,0.4,0.6,0.5,0.5,0.5,0.5,111,108,102,98,1
0.6,0.4,0.6,0.4,0.6,0.4,0.75,0.25,103,99,95,92,0
0.667,0.333,0.833,0.167,0.25,0.75,0.8,0.2,103,98,98,96,0
0.25,0.75,0.5,0.5,0.5,0.5,0.6,0.4,97,103,103,102,1
0.833,0.167,0.8,0.2,0.6,0.4,0.8,0.2,115,97,99,94,1
0.5,0.5,0.4,0.6,0.4,0.6,0.5,0.5,94,97,103,102,1
0.667,0.333,0.5,0.5,0.5,0.5,0.429,0.571,107,103,90,101,1
0.2,0.8,0.2,0.8,0.667,0.333,0.4,0.6,92,103,100,101,0
0.286,0.714,0.25,0.75,0.75,0.25,0.5,0.5,105,111,101,92,0
0.833,0.167,0.6,0.4,0.5,0.5,0.667,0.333,102,92,93,85,1
0.667,0.333,0.4,0.6,0.2,0.8,0.4,0.6,96,90,104,110,1
0.5,0.5,0.6,0.4,0.5,0.5,0.333,0.667,97,101,103,100,0
0.25,0.75,0.833,0.167,0.5,0.5,0.333,0.667,101,98,102,101,0
0.2,0.8,0.2,0.8,0.4,0.6,0.6,0.4,102,114,99,100,1
0.75,0.25,0.571,0.429,0.333,0.667,0.6,0.4,99,95,100,100,0
0.5,0.5,0.5,0.5,0.667,0.333,0.4,0.6,102,108,113,107,0
0.571,0.429,0.833,0.167,0.333,0.667,0.2,0.8,104,100,105,113,1
0.5,0.5,0.5,0.5,0.571,0.429,0.4,0.6,102,97,94,95,0
0.5,0.5,0.429,0.571,0.333,0.667,0.667,0.333,102,100,101,101,1
